Time (s),Desal - Coolant mass flow rate (kg/h),Desal - Hot feedwater inlet temperature (°C),Desal - Hot feedwater outlet temperature (°C),Desal - Cold feedwater inlet temperature (°C),Desal - Cold feedwater outlet temperature (°C),Desal - Feed membrane temperature (°C),Desal - Membrane gap temperature (°C),Desal - Gap film boundary temperature (°C),Desal - Film wall temperature (°C),Desal - Coolant wall temperature (°C),Desal - Hot feedwater inlet salinity (wt%),Desal - Hot feedwater outlet salinity (wt%),Desal - Cold feedwater inlet salinity (wt%),Desal - Mass flux (kg/m²h),Desal - Distilled water production rate (kg/h),Desal - Total heat flux (W/m²),Desal - Total heat transfer rate (W),Desal - Vapor heat flux (W/m²),Desal - Vapor heat transfer rate (W),Desal - Gain-output ratio (GOR),Desal - Thermal efficiency,Desal - Hot feedwater outlet mass flow rate (kg/h),Desal - Total water produced (kg),FeedTank - Feedwater inlet mass flow rate (kg/h),FeedTank - Brackish water inlet flow rate (kg/h),FeedTank - Feedwater outlet mass flow rate (kg/h),FeedTank - Feedwater inlet salinity (wt%),FeedTank - Feedwater inlet temperature (°C),FeedTank - Water salinity (wt%),FeedTank - Water temperature (°C),ColdHex - Heat transfer rate (W),ColdHex - Effectiveness,ColdHex - Hot side inlet mass flow rate (kg/h),ColdHex - Hot side inlet temperature (°C),ColdHex - Hot side outlet temperature (°C),ColdHex - Cold side outlet temperature (°C),ColdHex - Hot side salinity (wt%),HotHex - Heat transfer rate (W),HotHex - Effectiveness,HotHex - Cold side inlet mass flow rate (kg/h),HotHex - Hot side inlet temperature (°C),HotHex - Hot side outlet temperature (°C),HotHex - Cold side inlet temperature (°C),HotHex - Cold side outlet temperature (°C),HotHex - Cold side salinity (wt%),SolarField - Solar field inlet temperature (°C),SolarField - Solar field outlet temperature (°C),SolarField - Efficiency,SolarField - Heat transfer rate (W),SolarField - Recovered thermal energy (kWh),SolarField - Solar irradiance (W/m²),CircuitToSolar - Mass flow rate (kg/s),CircuitToSolar - Inlet temperature (°C),CircuitToSolar - Heat loss (W),CircuitToSolar - Outlet temperature (°C),CircuitToSolar - Surface temperature (°C),CircuitFromSolar - Mass flow rate (kg/s),CircuitFromSolar - Inlet temperature (°C),CircuitFromSolar - Heat loss (W),CircuitFromSolar - Outlet temperature (°C),CircuitFromSolar - Surface temperature (°C),Reservoir - Temperature (°C),HCPV - Mass flow rate (kg/s),HCPV - Heat transfer rate lost in the backplate (kW),HCPV - Heat transfer rate recovered from the solar cells (kW),HCPV - Inlet temperature (°C),HCPV - Outlet temperature (°C),HCPV - Electrical power (kW),HCPV - Global panel electrical efficiency (%),HCPV - Electrical energy generated (kWh),HCPV - Recovered thermal energy (kWh),HCPV - Lost thermal energy (kWh),ETC - Mass flow rate (kg/s),ETC - ETC inlet temperature (°C),ETC - ETC outlet temperature (°C),ETC - Efficiency,ETC - Heat transfer rate (W),ETC - Recovered thermal energy (kWh),ETC - Solar irradiance (W/m²),PVT - Mass flow rate (kg/s),PVT - PVT inlet temperature (°C),PVT - PVT outlet temperature (°C),PVT - Thermal Efficiency,PVT - Heat transfer rate (W),PVT - Electrical Efficiency,PVT - Electrical power output (W),PVT - Electrical energy generated (kWh),PVT - Recovered thermal energy (kWh),PVT - Solar irradiance (W/m²),Motor - Nominal Mass flow rate (kg/s),Motor - Outlet mass flow rate (kg/s),Motor - Recirculation mass flow rate (kg/s),Motor - Radiator in mass flow rate (kg/s),Motor - Radiator bypass mass flow rate (kg/s),Motor - Outlet temperature motor (°C),Motor - Oulet temperature recirculation (°C),Motor - Entry temperature radiator (°C),Motor - Oulet temperature radiator (°C),Motor - Bypass temperature radiator (°C),Motor - Mixture temperature radiator (°C),Motor - Mixture temperature engine (°C),Motor - Fuel consumption (L/h),Motor - Fuel consumption (g/kWh),Motor - Heat coolant (kW),Motor - Heat exhaust (kW),Motor - Heat rejection (kW),Motor - System efficiency,Motor - Engine efficiency,Motor - Coolant efficiency,Motor - Energy input (kW),Motor - Electrical energy generated/demanded (kWh),Motor - Fuel consumed (L),Mix Valve - Mass flow rate in from reservoir(kg/s),Mix Valve - Temperature in from reservoir(kg/s),Mix Valve - Mass flow rate in from motor(kg/s),Mix Valve - Temperature in from motor(kg/s),Mix Valve - Out Mass flow rate (kg/s),Mix Valve - Out Temperature (°C),Electrolyzer - Cell voltage (V),Electrolyzer - Stack voltage (V),Electrolyzer - Electrical current (A),Electrolyzer - Heat transfer rate generated (W),Electrolyzer - Heat generated (kWh),Electrolyzer - Power demand (W),Electrolyzer - Electricity demand (kWh),Electrolyzer - Hydrogen flow rate (Nm³/h),Electrolyzer - Hydrogen produced (Nm³),Electrolyzer - Water consumption rate (kg/h),Electrolyzer - Water consumed (kg),Electrolyzer - Conversion efficiency (%)
126.0000000000,600.0000000000,60.0022519289,35.3184816294,30.1736228442,54.8558656115,47.1649397935,45.9739371100,44.7020772333,43.3372776669,43.0376574192,1.0040120480,1.0344109475,1.0040120480,1.3605390219,17.6325857237,1310.8385834363,16988.4680413344,893.6326063689,11581.4785785414,3.2673937446,68.1725894905,582.3674142763,0.6018071938,582.3674142763,17.6325857237,600.0000000000,1.0344109475,35.3184816294,1.0040120480,48.8705296689,12868.5853142576,99.0799259626,600.0000000000,48.8705296689,30.1736228442,35.5372748655,1.0040120480,3544.5616548789,99.3328145972,600.0000000000,60.0368184903,58.8579639887,54.8558656115,60.0022519289,1.0040120480,53.5532355274,55.8234647807,39.6932491772,2866.6872285474,0.1011478998,601.8418933473,0.3400000000,53.6479637766,119.5589837868,53.5532355274,27.4746680916,0.3400000000,55.8234647807,76.7735056048,55.7626940898,27.6457228523,53.6479637766,0.3400000000,10.0435800352,-4.0287683723,53.6479637766,50.4536797485,2.6907109560,24.8377428777,0.0936378678,-0.1358479951,0.3448749894,0.2266000000,53.6479637766,55.5238186209,58.8104019370,1578.5975388030,0.0551287281,601.8418933473,0.2266000000,53.6479637766,54.7855870179,42.2990096548,957.1950837578,15.1896658113,343.7308238924,0.0119792236,0.0335686810,601.8418933473,4.5690002120,0.3043561762,4.2646440358,0.0000000000,0.3043561762,70.5325061309,70.5325061309,58.8579639887,55.0000000000,58.8579639887,58.8579639887,69.7548263672,5.9501059259,240.9792900000,13.2484028793,16.6377323034,1.2428185576,34.9206243619,45.6478749828,23.1321250172,57.2727445900,0.7000000000,0.2082537074,0.5000000000,53.6479637766,0.3043561762,70.5325061309,0.8043561762,60.0368184903,2.1207025893,25.4484310719,59.6194274476,620.1260442262,0.0215472021,1517.2208899462,0.0528085457,0.2991581946,0.0104248588,2.5046369563,0.0872798644,70.0764222961
252.0000000000,600.0000000000,61.1045480589,35.4495377918,30.1569966948,55.8105904542,47.7655833674,46.5506701984,45.2527202818,43.8356466510,43.5242491085,1.0082277786,1.0402865976,1.0082277786,1.4267266214,18.4903770139,1362.3642483831,17656.2406590445,936.4911822897,12136.9257224746,3.3285409575,68.7401466532,581.5096229861,1.2341667928,581.5096229861,18.4903770139,600.0000000000,1.0402865976,35.4495377918,1.0082277786,47.0690253305,11639.5081345602,99.0802246073,600.0000000000,47.0690253305,30.1569966948,35.0083024908,1.0082277786,3646.3200776602,99.3583316806,600.0000000000,61.1387370878,59.9684389534,55.8105904542,61.1045480589,1.0082277786,54.7150747880,56.9499926040,38.5822189189,2823.4886717725,0.2007074455,609.8423813891,0.3400000000,54.8136430761,124.4692780975,54.7150747880,27.5656442600,0.3400000000,56.9499926040,79.6057367554,56.8870098929,27.7329715525,54.8136430761,0.3400000000,10.4148361099,-4.3149352832,54.8136430761,51.3941005980,2.7213472517,24.7909891213,0.1883541799,-0.2819402340,0.7029893746,0.2266000000,54.8136430761,56.6972904605,58.3093730691,1585.9549010665,0.1105083325,609.8423813891,0.2266000000,54.8136430761,55.9469920464,41.6082769922,954.0808513129,15.1184172656,346.6664197124,0.0240616625,0.0670130749,609.8423813891,4.5671504456,0.3331799308,4.2339705148,0.0000000000,0.3331799308,70.6307464006,70.6307464006,59.9684389534,55.0000000000,59.9684389534,59.9684389534,69.8529163510,5.9501059259,240.9792900000,13.2484028793,16.6377323034,1.2428185576,34.9206243619,45.6478749828,23.1321250172,57.2727445900,1.4000000000,0.4165074148,0.5000000000,54.8136430761,0.3331799308,70.6307464006,0.8331799308,61.1387370878,2.1256989706,25.5083876469,60.1373499940,629.1187979508,0.0434104570,1534.0068357014,0.1062079212,0.3017570249,0.0209413487,2.5263950980,0.1753268903,69.9928516217
378.0000000000,600.0000000000,62.1547537669,35.5731481679,30.1426749365,56.7229927557,48.3373832980,47.1008690829,45.7793194714,44.3124688177,43.9898372657,1.0126401062,1.0463284365,1.0126401062,1.4905882956,19.3180243103,1411.5130399616,18293.2089979020,977.7933866507,12672.2022909932,3.3870653230,69.2727136745,580.6819756897,1.8960159272,580.6819756897,19.3180243103,600.0000000000,1.0463284365,35.5731481679,1.0126401062,45.5169292803,10580.6116560313,99.0805208046,600.0000000000,45.5169292803,30.1426749365,34.5525896027,1.0126401062,3741.3516075674,99.3841550307,600.0000000000,62.1884122781,61.0333047473,56.7229927557,62.1547537669,1.0126401062,55.8278226804,58.0308130660,37.5615275168,2784.4381268083,0.2988290705,617.7504641255,0.3400000000,55.9300675879,129.1738941478,55.8278226804,27.6523911661,0.3400000000,58.0308130660,82.3239963903,57.9657086666,27.8163415799,55.9300675879,0.3400000000,10.7725372571,-4.5885272529,55.9300675879,52.2953373583,2.7516269093,24.7459403928,0.2841364751,-0.4378245104,1.0738566288,0.2266000000,55.9300675879,57.8219842591,57.8429434766,1593.6697309851,0.1661518347,617.7504641255,0.2266000000,55.9300675879,57.0601626432,40.9770954951,951.7921030001,15.0500802106,349.5744957253,0.0362463635,0.1003632194,617.7504641255,4.5653434303,0.3658296575,4.1995137728,0.0000000000,0.3658296575,70.7420444983,70.7420444983,61.0333047473,55.0000000000,61.0333047473,61.0333047473,69.9640647052,5.9501059259,240.9792900000,13.2484028793,16.6377323034,1.2428185576,34.9206243619,45.6478749828,23.1321250172,57.2727445900,2.1000000000,0.6247611222,0.5000000000,55.9300675879,0.3658296575,70.7420444983,0.8658296575,62.1884122781,2.1306155802,25.5673869626,60.6476017588,638.0348951627,0.0655871109,1550.6007025241,0.1601914193,0.3043173647,0.0315481180,2.5478309870,0.2641297607,69.9101372474
504.0000000000,600.0000000000,63.1556802857,35.6898270646,30.1303470123,57.5950563400,48.8819347887,47.6258746970,46.2829453984,44.7686783377,44.4353281987,1.0172420613,1.0525300574,1.0172420613,1.5521680479,20.1160979010,1458.4068584600,18900.9528856414,1017.5728152186,13187.7436852327,3.4430738560,69.7729038585,579.8839020990,2.5863091941,579.8839020990,20.1160979010,600.0000000000,1.0525300574,35.6898270646,1.0172420613,44.1807913621,9669.0557503550,99.0808198995,600.0000000000,44.1807913621,30.1303470123,34.1602998609,1.0172420613,3830.2238745805,99.4101393614,600.0000000000,63.1886748395,62.0550739899,57.5950563400,63.1556802857,1.0172420613,56.8942962180,59.0685040560,36.6234878257,2749.2496763348,0.3956528553,625.5661415565,0.3400000000,57.0000638368,133.6844598225,56.8942962180,27.7351886737,0.3400000000,59.0685040560,84.9346271383,59.0013631372,27.8960821172,57.0000638368,0.3400000000,11.1173519809,-4.8502116322,57.0000638368,53.1596647920,2.7815487757,24.7025018255,0.3809722505,-0.6030725727,1.4570142212,0.2266000000,57.0000638368,58.9006878400,57.4085714041,1601.7134893480,0.2220712396,625.5661415565,0.2266000000,57.0000638368,58.1278467536,40.4002798961,950.2665751875,14.9844897563,352.4544829465,0.0485323534,0.1336468953,625.5661415565,4.5635726438,0.4029144068,4.1606582370,0.0000000000,0.4029144068,70.8684833776,70.8684833776,62.0550739899,55.0000000000,62.0550739899,62.0550739899,70.0903540713,5.9501059259,240.9792900000,13.2484028793,16.6377323034,1.2428185576,34.9206243619,45.6478749828,23.1321250172,57.2727445900,2.8000000000,0.8330148296,0.5000000000,57.0000638368,0.4029144068,70.8684833776,0.9029144068,63.1886748395,2.1354532693,25.6254392318,61.1502349341,646.8726894252,0.0880744519,1567.0016293119,0.2147523019,0.3068394761,0.0422438242,2.5689468158,0.3536772352,69.8282801074
630.0000000000,600.0000000000,64.1100545623,35.8000566363,30.1197440192,58.4287547011,49.4007797969,48.1270037648,46.7646747330,45.2052198721,44.8616393342,1.0220268250,1.0588854213,1.0220268250,1.6115213775,20.8853170529,1503.1648535781,19481.0165023719,1055.8700974814,13684.0764633593,3.4966750928,70.2431336768,579.1146829471,3.3040237517,579.1146829471,20.8853170529,600.0000000000,1.0588854213,35.8000566363,1.0220268250,43.0315964714,8885.0338620900,99.0811254825,600.0000000000,43.0315964714,30.1197440192,33.8229042916,1.0220268250,3913.4538097320,99.4361020843,600.0000000000,64.1422729728,63.0360988856,58.4287547011,64.1100545623,1.0220268250,57.9171244160,60.0654720764,35.7611137842,2717.6561737180,0.4913092081,633.2894136820,0.3400000000,58.0262696989,138.0118506604,57.9171244160,27.8142929460,0.3400000000,60.0654720764,87.4435608732,59.9963749950,27.9724218992,58.0262696989,0.3400000000,11.4499146784,-5.1006217462,58.0262696989,53.9891994795,2.8111117788,24.6605853858,0.4788489642,-0.7772789246,1.8520224158,0.2266000000,58.0262696989,59.9360021493,57.0039060832,1610.0586736418,0.2782775715,633.2894136820,0.2266000000,58.0262696989,59.1526092540,39.8731255677,949.4461845485,14.9214920048,355.3058219050,0.0609186391,0.1668897791,633.2894136820,4.5618313050,0.4451159647,4.1167153403,0.0000000000,0.4451159647,71.0123964458,71.0123964458,63.0360988856,55.0000000000,63.0360988856,63.0360988856,70.2341174729,5.9501059259,240.9792900000,13.2484028793,16.6377323034,1.2428185576,34.9206243619,45.6478749828,23.1321250172,57.2727445900,3.5000000000,1.0412685370,0.5000000000,58.0262696989,0.4451159647,71.0123964458,0.9451159647,64.1422729728,2.1402128671,25.6825544049,61.6453011407,655.6305882889,0.1108697109,1583.2088003542,0.2698838017,0.3093236179,0.0530271337,2.5897447532,0.4439581503,69.7472807340
756.0000000000,600.0000000000,65.0205630292,35.9042942043,30.1106330417,59.2260818228,49.8954314955,48.6055691670,47.2256063681,45.6230625981,45.2697128011,1.0269877648,1.0653889306,1.0269877648,1.6687161830,21.6265617311,1545.9053617169,20034.9334878508,1092.7334785665,14161.8258822213,3.5479812186,70.6856645709,578.3734382689,4.0481647274,578.3734382689,21.6265617311,600.0000000000,1.0653889306,35.9042942043,1.0269877648,42.0441808527,8211.3716270207,99.0814398832,600.0000000000,42.0441808527,30.1106330417,33.5330081167,1.0269877648,3991.5165863290,99.4618224330,600.0000000000,65.0519163638,63.9785793379,59.2260818228,65.0205630292,1.0269877648,58.8987612576,61.0239639619,34.9680512493,2689.4079858401,0.5859194996,640.9202805021,0.3400000000,59.0111474148,142.1662375883,58.8987612576,27.8899389619,0.3400000000,61.0239639619,89.8563449551,60.9529865890,28.0455712666,59.0111474148,0.3400000000,11.7708263003,-5.3403575526,59.0111474148,54.7859117937,2.8403149257,24.6201093103,0.5777540385,-0.9600596459,2.2584630882,0.2266000000,59.0111474148,60.9303542390,56.6267737493,1618.6788481025,0.3347809109,640.9202805021,0.2266000000,59.0111474148,60.1368445318,39.3913603279,949.2767363241,14.8609432940,358.1279659137,0.0734042083,0.2001155839,640.9202805021,4.5601124494,0.4931725890,4.0669398604,0.0000000000,0.4931725890,71.1763128572,71.1763128572,63.9785793379,55.0000000000,63.9785793379,63.9785793379,70.3978836158,5.9501059259,240.9792900000,13.2484028793,16.6377323034,1.2428185576,34.9206243619,45.6478749828,23.1321250172,57.2727445900,4.2000000000,1.2495222444,0.5000000000,59.0111474148,0.4931725890,71.1763128572,0.9931725890,65.0519163638,2.1448951824,25.7387421884,62.1328514856,664.3070529121,0.1339700644,1599.2214458189,0.3255791234,0.3117700466,0.0638967222,2.6102269461,0.5349614175,69.6671392811
882.0000000000,600.0000000000,65.8898919296,36.0029786490,30.1028123047,59.9890812931,50.3673966852,49.0628989002,47.6668768152,46.0232136493,45.6605284589,1.0321184739,1.0720355123,1.0321184739,1.7238337863,22.3408858703,1586.7477083872,20564.2503006978,1128.2194749758,14621.7243956858,3.5971099326,71.1026377421,577.6591141297,4.8177710811,577.6591141297,22.3408858703,600.0000000000,1.0720355123,36.0029786490,1.0321184739,41.1967254964,7633.1793521491,99.0817645330,600.0000000000,41.1967254964,30.1028123047,33.2842008512,1.0321184739,4064.8533599251,99.4870448236,600.0000000000,65.9203165076,64.8845704668,59.9890812931,65.8898919296,1.0321184739,59.8414973230,61.9460774013,34.2385167958,2664.2718635894,0.6795966552,648.4587420167,0.3400000000,59.9569952608,146.1571303365,59.8414973230,27.9623426445,0.3400000000,61.9460774013,92.1781660376,61.8732914259,28.1157239215,59.9569952608,0.3400000000,12.0806551490,-5.5699864398,59.9569952608,55.5516364979,2.8691573023,24.5809976145,0.6776748618,-1.1510512374,2.6759385690,0.2266000000,59.9569952608,61.8860089072,56.2751647943,1627.5486665918,0.3915904322,648.4587420167,0.2266000000,59.9569952608,61.0827877710,38.9511018514,949.7076622522,14.8027095190,360.9203843812,0.0859880297,0.2333461903,648.4587420167,4.5584091012,0.5478450077,4.0105640935,0.0000000000,0.5478450077,71.3628423712,71.3628423712,64.8845704668,55.0000000000,64.8845704668,64.8845704668,70.5842617650,5.9501059259,240.9792900000,13.2484028793,16.6377323034,1.2428185576,34.9206243619,45.6478749828,23.1321250172,57.2727445900,4.9000000000,1.4577759519,0.5000000000,59.9569952608,0.5478450077,71.3628423712,1.0478450077,65.9203165076,2.1495010053,25.7940120640,62.6129366512,672.9005983144,0.1573726358,1615.0388433455,0.3818314457,0.3141790166,0.0748512743,2.6303955236,0.6266760235,69.5878555439
1008.0000000000,600.0000000000,66.7207561529,36.0965350254,30.0961070101,60.7198663831,50.8181918036,49.5003492927,48.0896705379,46.4067270398,46.0351125270,1.0374128124,1.0788206921,1.0374128124,1.7769695017,23.0295247418,1625.8134936531,21070.5428777438,1162.3932338186,15064.6163102890,3.6441856323,71.4960995438,576.9704752582,5.6119218549,576.9704752582,23.0295247418,600.0000000000,1.0788206921,36.0965350254,1.0374128124,40.4703163942,7137.5508790894,99.0821002296,600.0000000000,40.4703163942,30.0961070101,33.0709264375,1.0374128124,4133.8773131129,99.5114883991,600.0000000000,66.7502151060,65.7559899993,60.7198663831,66.7207561529,1.0374128124,60.7474702864,62.8337704447,33.5672433985,2642.0299209975,0.7724457107,655.9047982259,0.3400000000,60.8659580829,149.9934171101,60.7474702864,28.0317026798,0.3400000000,62.8337704447,94.4138717833,62.7592436572,28.1830584423,60.8659580829,0.3400000000,12.3799377700,-5.7900441193,60.8659580829,56.2880821964,2.8976380746,24.5431796613,0.7785987923,-1.3499094975,3.1040705163,0.2266000000,60.8659580829,62.8050792029,55.9472219463,1636.6438889616,0.4487144421,655.9047982259,0.2266000000,60.8659580829,61.9925251424,38.5488199170,950.6917837015,14.7466655199,363.6825660787,0.0986690539,0.2666017697,655.9047982259,4.5567145676,0.6098600116,3.9468545561,0.0000000000,0.6098600116,71.5744837182,71.5744837182,65.7559899993,55.0000000000,65.7559899993,65.7559899993,70.7957501386,5.9501059259,240.9792900000,13.2484028793,16.6377323034,1.2428185576,34.9206243619,45.6478749828,23.1321250172,57.2727445900,5.6000000000,1.6660296593,0.5000000000,60.8659580829,0.6098600116,71.5744837182,1.1098600116,66.7502151060,2.1540311092,25.8483733107,63.0856070035,681.4097940631,0.1810744975,1630.6603203576,0.4386339231,0.3165507806,0.0858894833,2.6502526018,0.7190910290,69.5094289765
1134.0000000000,600.0000000000,67.5159060125,36.1853763416,30.0903657494,61.4206214693,51.2493468386,49.9193068133,48.4952196037,46.7747029498,46.3945368113,1.0428649495,1.0857406421,1.0428649495,1.8282319839,23.6938865116,1663.2268556134,21555.4200487491,1195.3281060881,15491.4522549016,3.6893393270,71.8680137982,576.3061134884,6.4297424325,576.3061134884,23.6938865116,600.0000000000,1.0857406421,36.1853763416,1.0428649495,39.8485626531,6713.3023848879,99.0824473320,600.0000000000,39.8485626531,30.0903657494,32.8883706270,1.0428649495,4198.9773457226,99.5348640479,600.0000000000,67.5443898610,66.5946261370,61.4206214693,67.5159060125,1.0428649495,61.6186745450,63.6888702357,32.9494319491,2622.4786961108,0.8645643325,663.2584491297,0.3400000000,61.7400369608,153.6834014221,61.6186745450,28.0982020921,0.3400000000,63.6888702357,96.5679909974,63.6126667931,28.2477396071,61.7400369608,0.3400000000,12.6691799358,-6.0010356118,61.7400369608,56.9968398955,2.9257564909,24.5065897748,0.8805131603,-1.5563084297,3.5424988216,0.2266000000,61.7400369608,63.6895360567,55.6412293139,1645.9413896242,0.5061604185,663.2584491297,0.2266000000,61.7400369608,62.8680031560,38.1813027643,952.1850943110,14.6926945196,366.4140221500,0.1114462138,0.2999008988,663.2584491297,4.5550228596,0.6798313446,3.8751915149,0.0000000000,0.6798313446,71.8133552052,71.8133552052,66.5946261370,55.0000000000,66.5946261370,66.5946261370,71.0344665565,5.9501059259,240.9792900000,13.2484028793,16.6377323034,1.2428185576,34.9206243619,45.6478749828,23.1321250172,57.2727445900,6.3000000000,1.8742833667,0.5000000000,61.7400369608,0.6798313446,71.8133552052,1.1798313446,67.5443898610,2.1584862521,25.9018350257,63.5509127022,689.8332650950,0.2050726729,1646.0852565463,0.4959796871,0.3188855902,0.0970100515,2.6698002879,0.8121955688,69.4318587075
1260.0000000000,600.0000000000,68.2781022529,36.2699016223,30.0854574005,62.0935758731,51.6623919600,50.3211732754,48.8847874518,47.1282726333,46.7399038921,1.0484694005,1.0927921740,1.0484694005,1.8777406213,24.3355184520,1699.1132427877,22020.5076265281,1227.1039651853,15903.2673888018,3.7327067192,72.2202578547,575.6644815480,7.2704100784,575.6644815480,24.3355184520,600.0000000000,1.0927921740,36.2699016223,1.0484694005,39.3172645420,6350.7455268729,99.0828059017,600.0000000000,39.3172645420,30.0854574005,32.7323631924,1.0484694005,4260.5188633805,99.5568983223,600.0000000000,68.3056279599,67.4021464652,62.0935758731,68.2781022529,1.0484694005,62.4569703038,64.5130812588,32.3807075967,2605.4282607348,0.9560433077,670.5196947280,0.3400000000,62.5810983246,157.2348372813,62.4569703038,28.1620096367,0.3400000000,64.5130812588,98.6447528419,64.4352619326,28.3099195739,62.5810983246,0.3400000000,12.9488577530,-6.2034363557,62.5810983246,57.6793909667,2.9535118831,24.4711668864,0.9834052715,-1.7699391883,3.9908805519,0.2266000000,62.5810983246,64.5412173571,55.3556021000,1655.4191554029,0.5639350498,670.5196947280,0.2266000000,62.5810983246,63.7110374887,37.8456268663,954.1465553104,14.6406875937,369.1142885343,0.1243184259,0.3332606670,670.5196947280,4.5533291971,0.7581661498,3.7951630473,0.0000000000,0.7581661498,72.0808754020,72.0808754020,67.4021464652,55.0000000000,67.4021464652,67.4021464652,71.3018291810,5.9501059259,240.9792900000,13.2484028793,16.6377323034,1.2428185576,34.9206243619,45.6478749828,23.1321250172,57.2727445900,7.0000000000,2.0825370741,0.5000000000,62.5810983246,0.7581661498,72.0808754020,1.2581661498,68.3056279599,2.1628671786,25.9544061433,64.0089037917,698.1696922740,0.2293641383,1661.3130857965,0.5538618487,0.3211836966,0.1082116898,2.6890406841,0.9059788513,69.3551435542
