Time (s),Desal - Coolant mass flow rate (kg/h),Desal - Hot feedwater inlet temperature (°C),Desal - Hot feedwater outlet temperature (°C),Desal - Cold feedwater inlet temperature (°C),Desal - Cold feedwater outlet temperature (°C),Desal - Feed membrane temperature (°C),Desal - Membrane gap temperature (°C),Desal - Gap film boundary temperature (°C),Desal - Film wall temperature (°C),Desal - Coolant wall temperature (°C),Desal - Hot feedwater inlet salinity (wt%),Desal - Hot feedwater outlet salinity (wt%),Desal - Cold feedwater inlet salinity (wt%),Desal - Mass flux (kg/m²h),Desal - Distilled water production rate (kg/h),Desal - Total heat flux (W/m²),Desal - Total heat transfer rate (W),Desal - Vapor heat flux (W/m²),Desal - Vapor heat transfer rate (W),Desal - Gain-output ratio (GOR),Desal - Thermal efficiency,Desal - Hot feedwater outlet mass flow rate (kg/h),Desal - Total water produced (kg),FeedTank - Feedwater inlet mass flow rate (kg/h),FeedTank - Brackish water inlet flow rate (kg/h),FeedTank - Feedwater outlet mass flow rate (kg/h),FeedTank - Feedwater inlet salinity (wt%),FeedTank - Feedwater inlet temperature (°C),FeedTank - Water salinity (wt%),FeedTank - Water temperature (°C),ColdHex - Heat transfer rate (W),ColdHex - Effectiveness,ColdHex - Hot side inlet mass flow rate (kg/h),ColdHex - Hot side inlet temperature (°C),ColdHex - Hot side outlet temperature (°C),ColdHex - Cold side outlet temperature (°C),ColdHex - Hot side salinity (wt%),HotHex - Heat transfer rate (W),HotHex - Effectiveness,HotHex - Cold side inlet mass flow rate (kg/h),HotHex - Hot side inlet temperature (°C),HotHex - Hot side outlet temperature (°C),HotHex - Cold side inlet temperature (°C),HotHex - Cold side outlet temperature (°C),HotHex - Cold side salinity (wt%),SolarField - Solar field inlet temperature (°C),SolarField - Solar field outlet temperature (°C),SolarField - Efficiency,SolarField - Heat transfer rate (W),SolarField - Recovered thermal energy (kWh),SolarField - Solar irradiance (W/m²),CircuitToSolar - Mass flow rate (kg/s),CircuitToSolar - Inlet temperature (°C),CircuitToSolar - Heat loss (W),CircuitToSolar - Outlet temperature (°C),CircuitToSolar - Surface temperature (°C),CircuitFromSolar - Mass flow rate (kg/s),CircuitFromSolar - Inlet temperature (°C),CircuitFromSolar - Heat loss (W),CircuitFromSolar - Outlet temperature (°C),CircuitFromSolar - Surface temperature (°C),Central Reservoir - Temperature (°C),HCPV - Mass flow rate (kg/s),HCPV - Heat transfer rate lost in the backplate (kW),HCPV - Heat transfer rate recovered from the solar cells (kW),HCPV - Inlet temperature (°C),HCPV - Outlet temperature (°C),HCPV - Electrical power (kW),HCPV - Global panel electrical efficiency (%),HCPV - Electrical energy generated (kWh),HCPV - Recovered thermal energy (kWh),HCPV - Lost thermal energy (kWh),ETC - Mass flow rate (kg/s),ETC - ETC inlet temperature (°C),ETC - ETC outlet temperature (°C),ETC - Efficiency,ETC - Heat transfer rate (W),ETC - Recovered thermal energy (kWh),ETC - Solar irradiance (W/m²),PVT - Mass flow rate (kg/s),PVT - PVT inlet temperature (°C),PVT - PVT outlet temperature (°C),PVT - Thermal Efficiency,PVT - Heat transfer rate (W),PVT - Electrical Efficiency,PVT - Electrical power output (W),PVT - Electrical energy generated (kWh),PVT - Recovered thermal energy (kWh),PVT - Solar irradiance (W/m²),Motor - Nominal Mass flow rate (kg/s),Motor - Outlet mass flow rate (kg/s),Motor - Recirculation mass flow rate (kg/s),Motor - Radiator in mass flow rate (kg/s),Motor - Radiator bypass mass flow rate (kg/s),Motor - Outlet temperature motor (°C),Motor - Oulet temperature recirculation (°C),Motor - Entry temperature radiator (°C),Motor - Oulet temperature radiator (°C),Motor - Bypass temperature radiator (°C),Motor - Mixture temperature radiator (°C),Motor - Mixture temperature engine (°C),Motor - Fuel consumption (L/h),Motor - Fuel consumption (g/kWh),Motor - Heat coolant (kW),Motor - Heat exhaust (kW),Motor - Heat rejection (kW),Motor - Heat transfer rate (kW),Motor - Recovered thermal energy (kWh),Motor - System efficiency,Motor - Engine efficiency,Motor - Coolant efficiency,Motor - Energy input (kW),Motor - Electrical energy generated/demanded (kWh),Motor - Fuel consumed (L),Mix Valve - Mass flow rate in from central reservoir(kg/s),Mix Valve - Temperature in from central reservoir(kg/s),Mix Valve - Mass flow rate in from motor(kg/s),Mix Valve - Temperature in from motor(kg/s),Mix Valve - Out Mass flow rate (kg/s),Mix Valve - Out Temperature (°C),Electrolyzer - Cell voltage (V),Electrolyzer - Stack voltage (V),Electrolyzer - Electrical current (A),Electrolyzer - Heat transfer rate generated (W),Electrolyzer - Heat generated (kWh),Electrolyzer - Power demand (W),Electrolyzer - Electricity demand (kWh),Electrolyzer - Hydrogen flow rate (Nm³/h),Electrolyzer - Hydrogen produced (Nm³),Electrolyzer - Water consumption rate (kg/h),Electrolyzer - Water consumed (kg),Electrolyzer - Conversion efficiency (%),RO Module - Volume flux of water (L/m²h),RO Module - Mass flux of salt (kg/m²h),RO Module - Pressure loss in the brine channel (bar),RO Module - Brine outlet salinity (wt%),RO Module - Permeate salinity (wt%),RO Module - Brine outflow rate (kg/h),RO Module - Mass of water treated (kg),RO Pump - Outlet pressure (bar),RO Pump - Electricity consumption (kWh),RO Feedtank - Mass outflow rate (kg/h),RO Feedtank - Salinity (wt%),RO Feedtank - Temperature (°C),Overall - Net water production (L),Overall - Salinity of the treated water (wt%),Overall - Net electricity generation (kWh),Overall - Net heat recovered (kWh)
126.0000000000,600.0000000000,60.0022617896,35.3185290518,30.1736011715,54.8558059558,47.1649652768,45.9739137911,44.7020017685,43.3372333934,43.0376200333,1.0057647090,1.0362155810,1.0057647090,1.3604915994,17.6319711277,1310.8084504984,16988.0775184594,893.5853775645,11580.8664932355,3.2672448087,68.1705536171,582.3680288723,0.6017965426,582.3680288723,17.6319711277,600.0000000000,1.0362155810,35.3185290518,1.0057647090,48.8705333801,12868.3241845328,99.0800409929,600.0000000000,48.8705333801,30.1736011715,35.5371624779,1.0057647090,3544.5358922568,99.3328964459,600.0000000000,60.0368245488,58.8579791506,54.8558059558,60.0022617896,1.0057647090,53.5532369146,55.8234660527,39.6932471858,2866.6870847310,0.1011478981,601.8418933473,0.3400000000,53.6479651684,119.5589896484,53.5532369146,27.4746682005,0.3400000000,55.8234660527,76.7735088022,55.7626953593,27.6457229510,53.6479651684,0.3400000000,10.0435804352,-4.0287687676,53.6479651684,50.4536808287,2.6907109512,24.8377428335,0.0936378678,-0.1358479998,0.3448749941,0.2266000000,53.6479651684,55.5238199844,58.8104010861,1578.5975159617,0.0551287278,601.8418933473,0.2266000000,53.6479651684,54.7855883744,42.2990083675,957.1950546259,15.1896657298,343.7308220490,0.0119792236,0.0335686806,601.8418933473,4.5690001869,0.3043565384,4.2646436485,0.0000000000,0.3043565384,70.5325073653,70.5325073653,58.8579791506,55.0000000000,58.8579791506,58.8579791506,69.7548275996,5.9501059259,240.9792900000,13.2484028793,16.6377323034,1.2428185576,13.2484028793,0.4636941009,34.9206243619,45.6478749828,23.1321250172,57.2727445900,0.7000000000,0.2082537074,0.5000000000,53.6479651684,0.3043565384,70.5325073653,0.8043565384,60.0368245488,2.1207025883,25.4484310600,59.6194273451,620.1260424522,0.0215472021,1517.2208866298,0.0528085457,0.2991581941,0.0104248588,2.5046369520,0.0872798643,70.0764223071,23.4522168149,0.0012739233,0.0052310388,1.4394589918,0.0054487018,430.2851158700,6.4824461660,51.1215256987,0.0350000000,616.7999998800,1.0041792788,25.0000000000,7.0185040033,0.0050480354,0.0185085457,0.5392386097
252.0000000000,600.0000000000,61.1045722116,35.4496406218,30.1569562128,55.8104696490,47.7656400135,46.5506245619,45.2525653054,43.8355583489,43.5241755424,1.0118439763,1.0440154575,1.0118439763,1.4266267934,18.4890832420,1362.2997788075,17655.4051333447,936.3908561022,12135.6254950841,3.3282357087,68.7360352449,581.5109167580,1.2341228383,581.5109167580,18.4890832420,600.0000000000,1.0440154575,35.4496406218,1.0118439763,47.0690402677,11639.0248012228,99.0804625781,600.0000000000,47.0690402677,30.1569562128,35.0080944771,1.0118439763,3646.2638337979,99.3584943667,600.0000000000,61.1387534523,59.9684747989,55.8104696490,61.1045722116,1.0118439763,54.7150805652,56.9499979018,38.5822107333,2823.4880727413,0.2007074317,609.8423813891,0.3400000000,54.8136488724,124.4693025185,54.7150805652,27.5656447114,0.3400000000,56.9499979018,79.6057500770,56.8870151802,27.7329719619,54.8136488724,0.3400000000,10.4148377808,-4.3149369340,54.8136488724,51.3941050940,2.7213472315,24.7909889373,0.1883541794,-0.2819402720,0.7029894130,0.2266000000,54.8136488724,56.6972961382,58.3093695423,1585.9548051433,0.1105083303,609.8423813891,0.2266000000,54.8136488724,55.9469976958,41.6082717055,954.0807300899,15.1184169264,346.6664119332,0.0240616623,0.0670130721,609.8423813891,4.5671503854,0.3331809410,4.2339694443,0.0000000000,0.3331809410,70.6307498440,70.6307498440,59.9684747989,55.0000000000,59.9684747989,59.9684747989,69.8529197896,5.9501059259,240.9792900000,13.2484028793,16.6377323034,1.2428185576,13.2484028793,0.9273882017,34.9206243619,45.6478749828,23.1321250172,57.2727445900,1.4000000000,0.4165074148,0.5000000000,54.8136488724,0.3331809410,70.6307498440,0.8331809410,61.1387534523,2.1256989664,25.5083875970,60.1373495632,629.1187904467,0.0434104568,1534.0068217151,0.1062079209,0.3017570227,0.0209413487,2.5263950799,0.1753268899,69.9928516670,23.4239991379,0.0012791203,0.0052335279,1.4446928892,0.0054775192,430.5036476277,12.9570824334,51.1231095216,0.0700000000,616.7999998800,1.0083423454,25.0000000000,14.0590265975,0.0050637331,0.0376079209,1.0670872206
378.0000000000,600.0000000000,62.1547969799,35.5733140491,30.1426180403,56.7228093641,48.3374767647,47.1008020386,45.7790807702,44.3123365471,43.9897285378,1.0182295482,1.0521001365,1.0182295482,1.4904311286,19.3159874266,1411.4100406967,18291.8741274297,977.6340801949,12670.1376793256,3.3865959992,69.2664818873,580.6840125734,1.8959137684,580.6840125734,19.3159874266,600.0000000000,1.0521001365,35.5733140491,1.0182295482,45.5169631288,10579.9394784031,99.0808894812,600.0000000000,45.5169631288,30.1426180403,34.5523003254,1.0182295482,3741.2604521868,99.3843968534,600.0000000000,62.1884435962,61.0333669945,56.7228093641,62.1547969799,1.0182295482,55.8278362017,58.0308254657,37.5615085952,2784.4367241512,0.2988290226,617.7504641255,0.3400000000,55.9300811539,129.1739513254,55.8278362017,27.6523922179,0.3400000000,58.0308254657,82.3240275807,57.9657210419,27.8163425345,55.9300811539,0.3400000000,10.7725411789,-4.5885311269,55.9300811539,52.2953478748,2.7516268615,24.7459399626,0.2841364734,-0.4378246424,1.0738567624,0.2266000000,55.9300811539,57.8219975460,57.8429352663,1593.6695047791,0.1661518270,617.7504641255,0.2266000000,55.9300811539,57.0601758663,40.9770832902,951.7918195119,15.0500794166,349.5744772811,0.0362463629,0.1003632097,617.7504641255,4.5653433235,0.3658317321,4.1995115914,0.0000000000,0.3658317321,70.7420515711,70.7420515711,61.0333669945,55.0000000000,61.0333669945,61.0333669945,69.9640717691,5.9501059259,240.9792900000,13.2484028793,16.6377323034,1.2428185576,13.2484028793,1.3910823025,34.9206243619,45.6478749828,23.1321250172,57.2727445900,2.1000000000,0.6247611222,0.5000000000,55.9300811539,0.3658317321,70.7420515711,0.8658317321,62.1884435962,2.1306155704,25.5673868451,60.6476007415,638.0348773300,0.0655871103,1550.6006693836,0.1601914182,0.3043173596,0.0315481179,2.5478309442,0.2641297592,69.9101373530,23.3958997591,0.0012842955,0.0052360072,1.4499014981,0.0055062849,430.7212753655,19.4239416126,51.1246872286,0.1050000000,616.7999998800,1.0124893361,25.0000000000,21.1205436207,0.0050795569,0.0572914182,1.5841888297
504.0000000000,600.0000000000,63.1557476157,35.6900633106,30.1302756730,57.5948089746,48.8820706969,47.6257870672,46.2826186171,44.7685019911,44.4351851556,1.0249132153,1.0604621233,1.0249132153,1.5519486650,20.1132546984,1458.2611551055,18899.0645701670,1017.3486461675,13184.8384543306,3.4424324000,69.7645029222,579.8867453016,2.5861217050,579.8867453016,20.1132546984,600.0000000000,1.0604621233,35.6900633106,1.0249132153,44.1808519094,9668.2230140629,99.0813268917,600.0000000000,44.1808519094,30.1302756730,34.1599414968,1.0249132153,3830.0936437787,99.4104579798,600.0000000000,63.1887261077,62.0551685137,57.5948089746,63.1557476157,1.0249132153,56.8943211376,59.0685269093,36.6234533761,2749.2470902767,0.3956527386,625.5661415565,0.3400000000,57.0000888388,133.6845652361,56.8943211376,27.7351906045,0.3400000000,59.0685269093,84.9346846418,59.0013859457,27.8960838701,57.0000888388,0.3400000000,11.1173592278,-4.8502187899,57.0000888388,53.1596841633,2.7815486865,24.7025010332,0.3809722465,-0.6030728949,1.4570145475,0.2266000000,57.0000888388,58.9007123244,57.4085563515,1601.7130693744,0.2220712208,625.5661415565,0.2266000000,57.0000888388,58.1278711245,40.4002577016,950.2660531427,14.9844882928,352.4544485222,0.0485323518,0.1336468717,625.5661415565,4.5635724781,0.4029181390,4.1606543391,0.0000000000,0.4029181390,70.8684961035,70.8684961035,62.0551685137,55.0000000000,62.0551685137,62.0551685137,70.0903667831,5.9501059259,240.9792900000,13.2484028793,16.6377323034,1.2428185576,13.2484028793,1.8547764032,34.9206243619,45.6478749828,23.1321250172,57.2727445900,2.8000000000,0.8330148296,0.5000000000,57.0000888388,0.4029181390,70.8684961035,0.9029181390,63.1887261077,2.1354532511,25.6254390134,61.1502330427,646.8726560664,0.0880744504,1567.0015674932,0.2147522992,0.3068394666,0.0422438237,2.5689467364,0.3536772317,69.8282803019,23.3679176392,0.0012894492,0.0052384767,1.4550850682,0.0055349995,430.9380069779,25.8830562334,51.1262588741,0.1400000000,616.7999998800,1.0166203946,25.0000000000,28.2020480971,0.0050955060,0.0775522992,2.0911487897
630.0000000000,600.0000000000,64.1101513202,35.8003702465,30.1196598276,58.4284420266,49.4009637248,48.1268962943,46.7642554020,45.2049991957,44.8614626706,1.0318868660,1.0690942043,1.0318868660,1.6112349631,20.8816051212,1502.9722972573,19478.5209724550,1055.5751967415,13680.2545497704,3.4958532235,70.2325118479,579.1183948788,3.3037216079,579.1183948788,20.8816051212,600.0000000000,1.0690942043,35.8003702465,1.0318868660,43.0316915506,8884.0642686255,99.0817782390,600.0000000000,43.0316915506,30.1196598276,33.8224870429,1.0318868660,3913.2805856459,99.4364945994,600.0000000000,64.1423494973,63.0362316854,58.4284420266,64.1101513202,1.0318868660,57.9171646447,60.0655089706,35.7610588288,2717.6519974025,0.4913089741,633.2894136820,0.3400000000,58.0263100604,138.0120208871,57.9171646447,27.8142960515,0.3400000000,60.0655089706,87.4436537332,59.9964118169,27.9724247194,58.0263100604,0.3400000000,11.4499264062,-5.1006333283,58.0263100604,53.9892307353,2.8111116331,24.6605841076,0.4788489562,-0.7772795720,1.8520230713,0.2266000000,58.0263100604,59.9360416706,57.0038819122,1610.0579909377,0.2782775336,633.2894136820,0.2266000000,58.0263100604,59.1526485985,39.8730902035,949.4453424654,14.9214896421,355.3057656437,0.0609186360,0.1668897319,633.2894136820,4.5618310662,0.4451221810,4.1167088851,0.0000000000,0.4451221810,71.0124176468,71.0124176468,63.0362316854,55.0000000000,63.0362316854,63.0362316854,70.2341386531,5.9501059259,240.9792900000,13.2484028793,16.6377323034,1.2428185576,13.2484028793,2.3184705040,34.9206243619,45.6478749828,23.1321250172,57.2727445900,3.5000000000,1.0412685370,0.5000000000,58.0263100604,0.4451221810,71.0124176468,0.9451221810,64.1423494973,2.1402128375,25.6825540498,61.6452980611,655.6305336466,0.1108697079,1583.2086993739,0.2698837961,0.3093236024,0.0530271328,2.5897446238,0.4439581431,69.7472810485,23.3400517045,0.0012945814,0.0052409364,1.4602438547,0.0055636633,431.1538506258,32.3344585332,51.1278245148,0.1750000000,616.7999998800,1.0207356694,25.0000000000,35.3025553394,0.0051115788,0.0983837961,2.5885368794
756.0000000000,600.0000000000,65.0206947614,35.9046918847,30.1105372502,59.2257025674,49.8956689817,48.6054425395,47.2250899346,45.6227972178,45.2695030842,1.0391425430,1.0779895484,1.0391425430,1.6683579866,21.6219195059,1545.6618345382,20031.7773756150,1092.3620004294,14157.0115255646,3.5469704878,70.6727678733,578.3780804941,4.0477164350,578.3780804941,21.6219195059,600.0000000000,1.0779895484,35.9046918847,1.0391425430,42.0443182957,8210.2847709050,99.0822456906,600.0000000000,42.0443182957,30.1105372502,33.5325404168,1.0391425430,3991.2966781607,99.4622855081,600.0000000000,65.0520237347,63.9787565083,59.2257025674,65.0206947614,1.0391425430,58.8988209232,61.0240186835,34.9679706810,2689.4017892921,0.5859190851,640.9202805021,0.3400000000,59.0112072774,142.1664901366,58.8988209232,27.8899435519,0.3400000000,61.0240186835,89.8564827227,60.9530412033,28.0455754360,59.0112072774,0.3400000000,11.7708437347,-5.3403747685,59.0112072774,54.7859581288,2.8403147072,24.6201074157,0.5777540241,-0.9600607944,2.2584642511,0.2266000000,59.0112072774,60.9304128486,56.6267380905,1618.6778287955,0.3347808434,640.9202805021,0.2266000000,59.0112072774,60.1369028883,39.3913085424,949.2754883642,14.8609397895,358.1278814594,0.0734042027,0.2001155002,640.9202805021,4.5601121215,0.4931824147,4.0669297068,0.0000000000,0.4931824147,71.1763463758,71.1763463758,63.9787565083,55.0000000000,63.9787565083,63.9787565083,70.3979171056,5.9501059259,240.9792900000,13.2484028793,16.6377323034,1.2428185576,13.2484028793,2.7821646048,34.9206243619,45.6478749828,23.1321250172,57.2727445900,4.2000000000,1.2495222444,0.5000000000,59.0112072774,0.4931824147,71.1763463758,0.9931824147,65.0520237347,2.1448951382,25.7387416579,62.1328468798,664.3069707064,0.1339700590,1599.2212943101,0.3255791134,0.3117700235,0.0638967207,2.6102267526,0.5349614047,69.6671397487,23.3123008618,0.0012996925,0.0052433865,1.4653781151,0.0055922769,431.3688146260,38.7781804499,51.1293842083,0.2100000000,616.7999998800,1.0248353123,25.0000000000,42.4211083692,0.0051277731,0.1197791134,3.0768892981
882.0000000000,600.0000000000,65.8900644163,36.0034668371,30.1027058668,59.9886342712,50.3676932422,49.0627537619,47.6662586761,46.0229031010,45.6602861576,1.0466725065,1.0871418185,1.0466725065,1.7233991252,22.3352526625,1586.4491272773,20560.3806895142,1127.7656044449,14615.8422336065,3.5959017700,71.0874105607,577.6647473375,4.8171430067,577.6647473375,22.3352526625,600.0000000000,1.0871418185,36.0034668371,1.0466725065,41.1969130954,7631.9911782716,99.0827305176,600.0000000000,41.1969130954,30.1027058668,33.2836895624,1.0466725065,4064.5832862757,99.4875748431,600.0000000000,65.9204605866,64.8847981714,59.9886342712,65.8900644163,1.0466725065,59.8415807357,61.9461539041,34.2384054316,2664.2631977812,0.6795959816,648.4587420167,0.3400000000,59.9570789488,146.1574834964,59.8415807357,27.9623490403,0.3400000000,61.9461539041,92.1783586910,61.8733677786,28.1157297329,59.9570789488,0.3400000000,12.0806795752,-5.5700105570,59.9570789488,55.5517012451,2.8691569933,24.5809949675,0.6776748382,-1.1510531064,2.6759404616,0.2266000000,59.9570789488,61.8860908343,56.2751152098,1627.5472325434,0.3915903219,648.4587420167,0.2266000000,59.9570789488,61.0828693565,38.9510303526,949.7059189663,14.8027046194,360.9202649196,0.0859880206,0.2333460545,648.4587420167,4.5584086660,0.5478599326,4.0105487334,0.0000000000,0.5478599326,71.3628932986,71.3628932986,64.8847981714,55.0000000000,64.8847981714,64.8847981714,70.5843126534,5.9501059259,240.9792900000,13.2484028793,16.6377323034,1.2428185576,13.2484028793,3.2458587056,34.9206243619,45.6478749828,23.1321250172,57.2727445900,4.9000000000,1.4577759519,0.5000000000,59.9570789488,0.5478599326,71.3628932986,1.0478599326,65.9204605866,2.1495009431,25.7940113171,62.6129301596,672.9004817795,0.1573726269,1615.0386291312,0.3818314294,0.3141789840,0.0748512718,2.6303952509,0.6266760026,69.5878561997,23.2846640139,0.0013047827,0.0052458270,1.4704881067,0.0056208408,431.5829073283,45.2142536184,51.1309380125,0.2450000000,616.7999998800,1.0289194754,25.0000000000,49.5567837972,0.0051440858,0.1417314294,3.5567105840
1008.0000000000,600.0000000000,66.7209754231,36.0971199179,30.0959906180,60.7193505270,50.8185529404,49.5001862805,48.0889460757,46.4063708033,46.0348380462,1.0544693006,1.0965452795,1.0544693006,1.7764537613,23.0228407464,1625.4558122676,21065.9073269878,1161.8511907634,15057.5914322938,3.6427713812,71.4784851114,576.9771592536,5.6110782566,576.9771592536,23.0228407464,600.0000000000,1.0965452795,36.0971199179,1.0544693006,40.4705618728,7136.2741144257,99.0832333630,600.0000000000,40.4705618728,30.0959906180,33.0703770364,1.0544693006,4133.5537854109,99.5120816627,600.0000000000,66.7504020294,65.7562744483,60.7193505270,66.7209754231,1.0544693006,60.7475819063,62.8338728205,33.5670960175,2642.0183208453,0.7724446833,655.9047982259,0.3400000000,60.8660700712,149.9938898186,60.7475819063,28.0317112121,0.3400000000,62.8338728205,94.4141296535,62.7593458323,28.1830661967,60.8660700712,0.3400000000,12.3799705231,-5.7900764543,60.8660700712,56.2881688020,2.8976376567,24.5431761210,0.7785987560,-1.3499123516,3.1040734067,0.2266000000,60.8660700712,62.8051888230,55.9471559498,1636.6419583423,0.4487142731,655.9047982259,0.2266000000,60.8660700712,61.9926343212,38.5487253991,950.6894526984,14.7466589631,363.6824043759,0.0986690399,0.2666015628,655.9047982259,4.5567140045,0.6098819446,3.9468320598,0.0000000000,0.6098819446,71.5745585815,71.5745585815,65.7562744483,55.0000000000,65.7562744483,65.7562744483,70.7958249507,5.9501059259,240.9792900000,13.2484028793,16.6377323034,1.2428185576,13.2484028793,3.7095528063,34.9206243619,45.6478749828,23.1321250172,57.2727445900,5.6000000000,1.6660296593,0.5000000000,60.8660700712,0.6098819446,71.5745585815,1.1098819446,66.7504020294,2.1540310253,25.8483723041,63.0855982471,681.4096359830,0.1810744839,1630.6600305202,0.4386338979,0.3165507366,0.0858894794,2.6502522340,0.7190909969,69.5094298575,23.2571400770,0.0013098520,0.0052482581,1.4755740833,0.0056493556,431.7961369817,51.6427093723,51.1324859847,0.2800000000,616.7999998800,1.0329883092,25.0000000000,56.7086980954,0.0051605129,0.1642338979,4.0284754578
1134.0000000000,600.0000000000,67.5161783696,36.1860639241,30.0902398676,61.4200358659,51.2497780885,49.9191265860,48.4943842206,46.7743004838,46.3942305263,1.0625258219,1.1061948795,1.0625258219,1.8276306166,23.6860927917,1662.8060639680,21549.9665890251,1194.6921459120,15483.2102110193,3.6877102710,71.8479545992,576.3139072083,6.4286454907,576.3139072083,23.6860927917,600.0000000000,1.1061948795,36.1860639241,1.0625258219,39.8488736435,6711.9469405072,99.0837544383,600.0000000000,39.8488736435,30.0902398676,32.8877873784,1.0625258219,4198.5972522747,99.5355169888,600.0000000000,67.5446260505,66.5949735671,61.4200358659,67.5161783696,1.0625258219,61.6188189546,63.6890026885,32.9492433266,2622.4636834526,0.8645628404,663.2584491297,0.3400000000,61.7401818469,153.6840131426,61.6188189546,28.0982130990,0.3400000000,63.6890026885,96.5683247025,63.6127989862,28.2477496125,61.7401818469,0.3400000000,12.6692223920,-6.0010775215,61.7401818469,56.9969518975,2.9257559444,24.5065851968,0.8805131072,-1.5563125805,3.5425030255,0.2266000000,61.7401818469,63.6896778642,55.6411443868,1645.9388773675,0.5061601719,663.2584491297,0.2266000000,61.7401818469,62.8681444122,38.1811819288,952.1820808521,14.6926860363,366.4138105899,0.1114461933,0.2999005986,663.2584491297,4.5550221451,0.6798626373,3.8751595078,0.0000000000,0.6798626373,71.8134620518,71.8134620518,66.5949735671,55.0000000000,66.5949735671,66.5949735671,71.0345733371,5.9501059259,240.9792900000,13.2484028793,16.6377323034,1.2428185576,13.2484028793,4.1732469071,34.9206243619,45.6478749828,23.1321250172,57.2727445900,6.3000000000,1.8742833667,0.5000000000,61.7401818469,0.6798626373,71.8134620518,1.1798626373,67.5446260505,2.1584861429,25.9018337146,63.5509012849,689.8330578374,0.2050726529,1646.0848774933,0.4959796503,0.3188855329,0.0970100459,2.6697998082,0.8121955219,69.4318598525,23.2297279983,0.0013149008,0.0052506798,1.4806362917,0.0056778218,432.0085115965,58.0635787495,51.1340281804,0.3150000000,616.7999998800,1.0370419597,25.0000000000,63.8760138816,0.0051770494,0.1872796503,4.4926305905
1260.0000000000,600.0000000000,68.2784342962,36.2706976983,30.0853222981,62.0929197922,51.6628989066,50.3209765393,48.8838365954,47.1278234047,46.7395661786,1.0708353814,1.1160862752,1.0708353814,1.8770491428,24.3265568907,1698.6253642960,22014.1847212763,1226.3683758876,15893.7341515036,3.7308541007,72.1976959526,575.6734431093,7.2690199254,575.6734431093,24.3265568907,600.0000000000,1.1160862752,36.2706976983,1.0708353814,39.3176485705,6349.3188677415,99.0842936668,600.0000000000,39.3176485705,30.0853222981,32.7317493081,1.0708353814,4260.0792533147,99.5576077275,600.0000000000,68.3059201296,67.4025631238,62.0929197922,68.2784342962,1.0708353814,62.4571521824,64.5132480815,32.3804725333,2605.4093469777,0.9560412228,670.5196947280,0.3400000000,62.5812808032,157.2356078968,62.4571521824,28.1620234616,0.3400000000,64.5132480815,98.6451732292,64.4354284283,28.3099321431,62.5812808032,0.3400000000,12.9489113223,-6.2034892295,62.5812808032,57.6795319754,2.9535111875,24.4711611234,0.9834051967,-1.7699449953,3.9908864336,0.2266000000,62.5812808032,64.5413959405,55.3554957087,1655.4159737511,0.5639347037,670.5196947280,0.2266000000,62.5812808032,63.7112154018,37.8454764401,954.1427628356,14.6406769088,369.1140191528,0.1243183970,0.3332602478,670.5196947280,4.5533283055,0.7582095696,3.7951187358,0.0000000000,0.7582095696,72.0810237130,72.0810237130,67.4025631238,55.0000000000,67.4025631238,67.4025631238,71.3019774084,5.9501059259,240.9792900000,13.2484028793,16.6377323034,1.2428185576,13.2484028793,4.6369410079,34.9206243619,45.6478749828,23.1321250172,57.2727445900,7.0000000000,2.0825370741,0.5000000000,62.5812808032,0.7582095696,72.0810237130,1.2582095696,68.3059201296,2.1628670401,25.9544044809,64.0088893022,698.1694278231,0.2293641100,1661.3126033226,0.5538617968,0.3211836239,0.1082116820,2.6890400754,0.9059787854,69.3551450034,23.2024267732,0.0013199292,0.0052530922,1.4856749690,0.0057062398,432.2200388130,64.4768925035,51.1355646525,0.3500000000,616.7999998800,1.0410805657,25.0000000000,71.0579454871,0.0051936894,0.2108617968,4.9495962969
